STATION,NAME,DATE,AWND,PGTM,PRCP,HOLIDAY,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT08
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-04-18,2.01,,0,0,,,,77,60,270,270,14.1,23,1,,,1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-04-19,2.01,,0,0,,,,76,61,280,280,12.1,18.1,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-04-20,2.68,,0,0,,,,79,59,280,270,14.1,25.1,,,,1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-04-21,1.57,,0,0,,,,90,60,280,280,8.9,15,,,,1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-04-22,2.01,,0,0,,,,90,63,280,290,12.1,16.1,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-04-23,2.01,,0,0,,,,81,60,270,280,8.9,16.1,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-04-24,1.79,,0,0,,,,73,59,270,280,10.1,16.1,,,,1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-04-25,5.59,,0,0,,,,77,60,290,290,14.1,27.1,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-04-26,1.79,,0,0,,,,78,61,270,260,8.1,14.1,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-04-27,6.04,,0,0,,,,85,60,330,330,17,34,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-04-28,8.05,,0,0,,,,85,69,320,330,18.1,32,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-04-29,2.91,,0,0,,,,83,63,270,290,12.1,19.9,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-04-30,2.46,,0,0,,,,87,59,270,270,12.1,16.1,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-05-01,1.79,,0,0,,,,85,60,280,270,8.9,14.1,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-05-02,1.57,,0,0,,,,87,62,280,280,10.1,14.1,,,,1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-05-03,2.01,,0,0,,,,82,63,270,280,10.1,14.1,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-05-04,2.01,,0,0,,,,80,61,280,270,10.1,16.1,1,,,1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-05-05,1.79,,0,0,,,,72,59,270,270,12.1,16.1,1,,,1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-05-06,3.58,,0.02,0,,,,66,52,270,270,10.1,19.9,,,,1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-05-07,3.58,,0.3,0,,,,66,51,100,110,10.1,19,1,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-05-08,1.79,,0,0,,,,71,51,280,270,10.1,17,1,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-05-09,3.36,,0,0,,,,71,56,170,160,10.1,17,1,,,
